,Title,Rating,votings,Duration,voting_counts
356,476. Traveling with Mr. T.,7.3, (16),1h 35m, (12)
357,477. Okhwan's Mission Impossible,7.2, (16),1h 8m, (14)
358,478. I want to run - Das härteste Rennen der Welt,6.8, (16),1h 30m, (90)
359,480. Sons of Africa,6.4, (16),57m, (7)
360,481. Where God Likes to Be,8.0, (16),1h 12m, (9)
361,483. O Rio de Janeiro de Ho Chi Minh,8.6, (16),1h 38m, (6)
362,487. The Garuda Kids,8.5, (16),2h 9m, (57)
363,492. Yes,8.3, (16),1h 20m, (10)
364,498. Woke Up Alive,7.4, (16),1h 18m, (12)
365,499. Into the Empty Quarter,7.8, (16),52m, (20)
366,503. Stella Polaris Ulloriarsuaq,7.3, (16),1h 26m, (8)
367,504. Kufferten,4.2, (16),1h 36m, (51)
368,"506. Wanderlust, female bodies in transit",6.2, (16),1h 36m, (21)
369,510. The Ark of Lights and Shadows,7.5, (16),1h 30m, (8)
370,513. The Falconer Sport of Kings,8.0, (16),1h 10m, (14)
371,515. Prince Oak Oakleyski: Lord Kandanai Maneesawath,9.3, (16),1h, (62)
372,523. Charents: In Search of My Armenian Poet,5.4, (16),1h 39m, (18)
373,525. Dogshin hutagtin sakhius,7.9, (16),1h 46m, (18)
374,531. Hossein Kord Shabestari,5.4, (16),1h 52m, (29)
375,535. Georgiy Sedov,7.7, (16),1h 21m, (55)
376,537. Plasticized,7.3, (16),48m, (15)
377,538. The Last Knight of the Empire,6.0, (16),1h 20m, (12)
378,550. Lucky Express,7.4, (16),1h 27m, (11)
379,552. The Last Safari,7.5, (16),1h 14m, (18)
380,557. Velké dobrodruzství,6.8, (16),1h 43m, (14)
381,559. A King for Patagonia,7.4, (16),1h 23m, (21)
382,561. Vozdukhoplavatel,6.1, (16),1h 33m, (26)
383,574. Sobre la marxa,7.8, (16),1h 17m, (94)
384,579. Take It with You,7.1, (16),1h 4m, (54)
385,583. José do Telhado,5.4, (16),1h 38m, (39)
386,587. Multitudes,7.1, (16),1h 5m, (13)
387,"588. La folle entreprise, sur les pas de Jeanne Mance",7.0, (16),59m, (7)
388,596. München in Indien,7.0, (16),1h 35m, (9)
389,621. An Uncommon King,7.0, (16),1h 12m, (13)
390,623. Gypsy's Wrath,6.1, (16),1h 30m, (17)
391,625. Pamparios,8.0, (16),1h 22m, (11)
392,632. The Stranger,6.0, (16),1h 24m, (11)
393,640. Beyaz Zenciler: Yapim Asamasi,8.6, (16),55m, (5)
394,641. Looking for the Huemul,6.6, (16),1h 19m, (9)
395,"643. Fangio, el demonio de las pistas",5.1, (16),1h 53m, (19)
396,649. Trucker and the Fox,6.6, (16),1h 18m, (35)
397,655. Searching for Nepal,8.6, (16),1h 29m, (20)
398,664. Como Dios Nos Trajo,8.0, (16),1h 5m, (8)
399,672. A Captain Unafraid,7.9, (16),1h 36m, (8)
400,681. My Name Is Water,8.1, (16),1h 31m, (33)
401,692. Life Is Elsewhere,5.8, (16),1h 42m, (16)
