,Title,Rating,votings,Duration,voting_counts
280,295. Nothing to Lose,6.7, (49),1h 38m, (51K)
281,296. Miss Congeniality 2: Armed & Fabulous,5.2, (49),1h 55m, (82K)
282,297. Kung Pow: Enter the Fist,6.2, (49),1h 21m, (50K)
283,298. Eight Legged Freaks,5.5, (49),1h 39m, (62K)
284,299. Mr. Right,6.3, (49),1h 35m, (64K)
285,300. The Out-Laws,5.4, (49),1h 35m, (39K)
286,301. Violent Night,6.7, (49),1h 52m, (113K)
287,302. Tuff Turf,6.0, (49),1h 52m, (6.3K)
288,303. Chip 'n Dale: Rescue Rangers,6.9, (49),1h 37m, (49K)
289,304. The Bounty Hunter,5.5, (49),1h 50m, (137K)
290,305. Attack the Block,6.7, (49),1h 28m, (113K)
291,306. Cutthroat Island,5.7, (49),2h 4m, (32K)
292,307. Paul Blart: Mall Cop,5.3, (49),1h 31m, (121K)
293,308. Wild Hogs,5.9, (49),1h 40m, (125K)
294,309. Americana,6.2, (49),1h 50m, (195)
295,310. The Last Dragon,6.8, (49),1h 49m, (19K)
296,311. The Lego Ninjago Movie,6.1, (49),1h 41m, (32K)
297,312. The Sea Beast,7.0, (49),1h 55m, (62K)
298,313. The Big Bus,5.7, (49),1h 28m, (3.9K)
299,314. Megamind vs. The Doom Syndicate,2.5, (49),1h 23m, (5.5K)
300,315. Shoot 'Em Up,6.6, (49),1h 26m, (157K)
301,316. CHIPS,6.0, (49),1h 40m, (52K)
302,317. Role Play,5.5, (49),1h 40m, (19K)
303,318. Super,6.7, (49),1h 36m, (85K)
304,321. DC League of Super-Pets,7.0, (49),1h 45m, (79K)
305,322. Fright Night,6.4, (49),1h 46m, (116K)
306,323. Slaughterhouse Rulez,5.3, (49),1h 44m, (17K)
307,324. Shaolin Soccer,7.3, (49),1h 27m, (93K)
308,325. Til Death Do Us Part,3.8, (49),1h 51m, (6.7K)
309,326. Johnny English Reborn,6.3, (49),1h 41m, (145K)
310,327. The Man from Toronto,5.8, (49),1h 50m, (63K)
311,328. Shanghai Noon,6.6, (49),1h 50m, (138K)
312,329. The Retirement Plan,5.1, (49),1h 43m, (9.5K)
313,330. Strange World,5.7, (49),1h 42m, (48K)
314,331. Spy Kids 2: Island of Lost Dreams,5.3, (49),1h 40m, (76K)
315,333. A Prueba De Hombres,6.2, (49),1h 45m, (49K)
316,334. Machete Kills,5.6, (49),1h 47m, (84K)
317,335. The Baytown Outlaws,6.3, (49),1h 38m, (16K)
318,336. D3: The Mighty Ducks,5.5, (49),1h 44m, (29K)
319,337. Never Too Young to Die,4.8, (49),1h 32m, (2.2K)
320,338. Zoom,4.4, (49),1h 23m, (23K)
321,"339. No Retreat, No Surrender",5.6, (49),1h 25m, (20K)
322,341. I'm Gonna Git You Sucka,6.6, (49),1h 28m, (16K)
323,342. Taxi,4.6, (49),1h 37m, (46K)
324,343. Torque,4.1, (49),1h 24m, (30K)
325,344. Every Which Way But Loose,6.3, (49),1h 54m, (31K)
326,345. Astro Boy,6.2, (49),1h 34m, (41K)
327,346. The Ice Pirates,5.6, (49),1h 34m, (12K)
328,347. Let's Be Cops,6.4, (49),1h 44m, (142K)
329,348. Around the World in 80 Days,5.9, (49),2h, (97K)
330,349. American Ultra,6.1, (49),1h 36m, (98K)
331,350. Thunderbirds,4.3, (49),1h 35m, (15K)
332,351. Jay and Silent Bob Reboot,5.6, (49),1h 45m, (29K)
333,352. Keanu,6.2, (49),1h 40m, (54K)
334,353. Another 48 Hrs.,5.9, (49),1h 35m, (46K)
335,354. The Phantom,5.1, (49),1h 40m, (37K)
336,355. Taxi,7.0, (49),1h 29m, (92K)
337,356. Tank,5.8, (49),1h 53m, (5.1K)
338,357. Outlaw Blues,6.0, (49),1h 40m, (520)
339,358. Feast,6.2, (49),1h 35m, (35K)
340,359. The Green Hornet,5.8, (49),1h 59m, (167K)
341,360. Beverly Hills Cop III,5.5, (49),1h 44m, (97K)
342,361. TMNT,6.2, (49),1h 27m, (71K)
343,362. The Big Hit,6.1, (49),1h 31m, (32K)
344,363. Cannonball Run II,5.1, (49),1h 48m, (18K)
345,364. Black Dynamite,7.4, (49),1h 24m, (53K)
346,365. 3000 Miles to Graceland,6.0, (49),2h 5m, (50K)
347,366. Thunderbolt and Lightfoot,7.0, (49),1h 55m, (30K)
348,367. Going Places,7.1, (49),1h 57m, (10K)
349,368. National Security,5.6, (49),1h 28m, (56K)
350,369. Mermaid,7.5, (49),1h 45m, (17)
351,370. The Thundermans Return,5.0, (49),1h 10m, (1.8K)
352,371. Johnny English Strikes Again,6.2, (49),1h 29m, (87K)
353,"372. Faster, Pussycat! Kill! Kill!",6.6, (49),1h 23m, (17K)
354,373. Trouble,6.2, (49),1h 38m, (6.7K)
355,375. Deathstalker II: Duel of the Titans,5.1, (49),1h 25m, (4K)
356,"376. I, the Executioner",6.3, (49),1h 58m, (1.6K)
357,377. The Golden Child,6.0, (49),1h 34m, (61K)
358,379. Loaded Weapon 1,6.2, (49),1h 24m, (52K)
359,380. Red Heat,6.1, (49),1h 44m, (79K)
360,381. Rim of the World,5.3, (49),1h 38m, (26K)
361,382. Arena Wars,4.9, (49),1h 36m, (2K)
362,383. Postal,4.5, (49),1h 40m, (25K)
363,384. The Brothers Bloom,6.7, (49),1h 54m, (53K)
364,385. Shanghai Knights,6.2, (49),1h 54m, (115K)
365,386. The Spy Who Dumped Me,6.0, (49),1h 57m, (85K)
366,387. G-Force,5.1, (49),1h 28m, (52K)
367,389. Citizen Toxie: The Toxic Avenger IV,5.9, (49),1h 49m, (6.5K)
368,390. Spies in Disguise,6.8, (49),1h 42m, (60K)
369,391. We Still Kill the Old Way,6.0, (49),1h 34m, (5.3K)
370,392. My Spy: The Eternal City,5.7, (49),1h 52m, (11K)
371,393. Agent Cody Banks,5.1, (49),1h 42m, (38K)
372,394. Batman: The Movie,6.5, (49),1h 45m, (37K)
373,395. Big Momma's House,5.2, (49),1h 39m, (93K)
374,396. Accident Man,6.2, (49),1h 45m, (14K)
375,397. R.I.P.D.,5.6, (49),1h 36m, (148K)
376,398. Police Story,7.5, (49),1h 40m, (44K)
377,399. The Toxic Avenger Part II,5.0, (49),1h 42m, (7.8K)
378,400. The Assassination Bureau,6.4, (49),1h 50m, (3.7K)
379,401. King Solomon's Mines,5.2, (49),1h 40m, (16K)
380,402. Undercover Brother,5.9, (49),1h 26m, (37K)
381,403. Muppet Treasure Island,6.9, (49),1h 39m, (28K)
382,404. Guardians,4.1, (49),1h 29m, (15K)
383,405. The Pope of Greenwich Village,6.6, (49),2h 1m, (10K)
384,406. One for the Money,5.3, (49),1h 31m, (45K)
385,407. Innocent Blood,6.2, (49),1h 52m, (11K)
386,408. Love Exposure,8.0, (49),3h 57m, (17K)
387,409. Spy Kids 4: All the Time in the World,3.6, (49),1h 29m, (29K)
388,410. Showdown in Little Tokyo,6.1, (49),1h 19m, (22K)
389,411. The Wrecking Crew,5.5, (49),1h 45m, (4K)
390,412. Blue Streak,6.4, (49),1h 33m, (91K)
391,413. Hidden Strike,5.4, (49),1h 42m, (21K)
392,414. Cop Out,5.5, (49),1h 47m, (91K)
393,415. MacGruber,5.6, (49),1h 30m, (48K)
394,416. Jimmy Neutron: Boy Genius,6.1, (49),1h 22m, (39K)
395,417. My Spy,6.4, (49),1h 39m, (39K)
396,418. Barely Lethal,5.4, (49),1h 36m, (24K)
397,419. Last Looks,5.8, (49),1h 50m, (13K)
398,420. Ride Along,6.1, (49),1h 39m, (126K)
399,422. The Perils of Gwendoline in the Land of the Yik Yak,5.2, (49),1h 27m, (3.5K)
400,423. Mortdecai,5.5, (49),1h 47m, (78K)
401,424. Cooties,5.7, (49),1h 28m, (30K)
402,425. Grabbers,6.3, (49),1h 34m, (20K)
403,426. The Great Race,7.2, (49),2h 40m, (21K)
404,427. The Happytime Murders,5.5, (49),1h 31m, (31K)
405,428. The General,8.1, (49),1h 18m, (102K)
406,429. The Tuxedo,5.4, (49),1h 38m, (91K)
407,430. Underdog,4.8, (49),1h 24m, (23K)
408,"431. Game Over, Man!",5.5, (49),1h 41m, (34K)
409,432. Double Dragon,3.9, (49),1h 36m, (14K)
410,434. Red Shoes and the Seven Dwarfs,6.4, (49),1h 32m, (6K)
411,435. Big Bad Mama,5.7, (49),1h 24m, (3.3K)
412,436. Tower Heist,6.2, (49),1h 44m, (154K)
413,437. The Adventures of Ford Fairlane,6.4, (49),1h 44m, (20K)
414,438. The Spy Next Door,5.5, (49),1h 34m, (48K)
415,439. Any Which Way You Can,6.1, (49),1h 56m, (22K)
416,440. Simarik,6.4, (49),1h 51m, (2.4K)
417,441. Bulletproof,5.8, (49),1h 24m, (41K)
418,442. Here Comes the Boom,6.4, (49),1h 45m, (97K)
419,443. Monster Trucks,5.7, (49),1h 44m, (20K)
