Title,Rating,votings,Duration,voting_counts
354. The Phantom,5.1,49,1h 40m,37000.0
355. Taxi,7.0,49,1h 29m,92000.0
356. Tank,5.8,49,1h 53m,5100.0
357. Outlaw Blues,6.0,49,1h 40m,520.0
358. Feast,6.2,49,1h 35m,35000.0
359. The Green Hornet,5.8,49,1h 59m,167000.0
360. Beverly Hills Cop III,5.5,49,1h 44m,97000.0
361. TMNT,6.2,49,1h 27m,71000.0
362. The Big Hit,6.1,49,1h 31m,32000.0
363. Cannonball Run II,5.1,49,1h 48m,18000.0
364. Black Dynamite,7.4,49,1h 24m,53000.0
365. 3000 Miles to Graceland,6.0,49,2h 5m,50000.0
366. Thunderbolt and Lightfoot,7.0,49,1h 55m,30000.0
367. Going Places,7.1,49,1h 57m,10000.0
368. National Security,5.6,49,1h 28m,56000.0
369. Mermaid,7.5,49,1h 45m,17.0
370. The Thundermans Return,5.0,49,1h 10m,1800.0
371. Johnny English Strikes Again,6.2,49,1h 29m,87000.0
"372. Faster, Pussycat! Kill! Kill!",6.6,49,1h 23m,17000.0
373. Trouble,6.2,49,1h 38m,6700.0
375. Deathstalker II: Duel of the Titans,5.1,49,1h 25m,4000.0
"376. I, the Executioner",6.3,49,1h 58m,1600.0
377. The Golden Child,6.0,49,1h 34m,61000.0
379. Loaded Weapon 1,6.2,49,1h 24m,52000.0
380. Red Heat,6.1,49,1h 44m,79000.0
381. Rim of the World,5.3,49,1h 38m,26000.0
382. Arena Wars,4.9,49,1h 36m,2000.0
383. Postal,4.5,49,1h 40m,25000.0
384. The Brothers Bloom,6.7,49,1h 54m,53000.0
385. Shanghai Knights,6.2,49,1h 54m,115000.0
386. The Spy Who Dumped Me,6.0,49,1h 57m,85000.0
387. G-Force,5.1,49,1h 28m,52000.0
389. Citizen Toxie: The Toxic Avenger IV,5.9,49,1h 49m,6500.0
390. Spies in Disguise,6.8,49,1h 42m,60000.0
391. We Still Kill the Old Way,6.0,49,1h 34m,5300.0
392. My Spy: The Eternal City,5.7,49,1h 52m,11000.0
393. Agent Cody Banks,5.1,49,1h 42m,38000.0
394. Batman: The Movie,6.5,49,1h 45m,37000.0
395. Big Momma's House,5.2,49,1h 39m,93000.0
396. Accident Man,6.2,49,1h 45m,14000.0
397. R.I.P.D.,5.6,49,1h 36m,148000.0
398. Police Story,7.5,49,1h 40m,44000.0
399. The Toxic Avenger Part II,5.0,49,1h 42m,7800.0
400. The Assassination Bureau,6.4,49,1h 50m,3700.0
401. King Solomon's Mines,5.2,49,1h 40m,16000.0
402. Undercover Brother,5.9,49,1h 26m,37000.0
403. Muppet Treasure Island,6.9,49,1h 39m,28000.0
404. Guardians,4.1,49,1h 29m,15000.0
405. The Pope of Greenwich Village,6.6,49,2h 1m,10000.0
406. One for the Money,5.3,49,1h 31m,45000.0
407. Innocent Blood,6.2,49,1h 52m,11000.0
408. Love Exposure,8.0,49,3h 57m,17000.0
409. Spy Kids 4: All the Time in the World,3.6,49,1h 29m,29000.0
410. Showdown in Little Tokyo,6.1,49,1h 19m,22000.0
411. The Wrecking Crew,5.5,49,1h 45m,4000.0
412. Blue Streak,6.4,49,1h 33m,91000.0
413. Hidden Strike,5.4,49,1h 42m,21000.0
414. Cop Out,5.5,49,1h 47m,91000.0
415. MacGruber,5.6,49,1h 30m,48000.0
416. Jimmy Neutron: Boy Genius,6.1,49,1h 22m,39000.0
417. My Spy,6.4,49,1h 39m,39000.0
418. Barely Lethal,5.4,49,1h 36m,24000.0
419. Last Looks,5.8,49,1h 50m,13000.0
420. Ride Along,6.1,49,1h 39m,126000.0
422. The Perils of Gwendoline in the Land of the Yik Yak,5.2,49,1h 27m,3500.0
423. Mortdecai,5.5,49,1h 47m,78000.0
424. Cooties,5.7,49,1h 28m,30000.0
425. Grabbers,6.3,49,1h 34m,20000.0
426. The Great Race,7.2,49,2h 40m,21000.0
427. The Happytime Murders,5.5,49,1h 31m,31000.0
428. The General,8.1,49,1h 18m,102000.0
429. The Tuxedo,5.4,49,1h 38m,91000.0
430. Underdog,4.8,49,1h 24m,23000.0
"431. Game Over, Man!",5.5,49,1h 41m,34000.0
432. Double Dragon,3.9,49,1h 36m,14000.0
434. Red Shoes and the Seven Dwarfs,6.4,49,1h 32m,6000.0
435. Big Bad Mama,5.7,49,1h 24m,3300.0
436. Tower Heist,6.2,49,1h 44m,154000.0
437. The Adventures of Ford Fairlane,6.4,49,1h 44m,20000.0
438. The Spy Next Door,5.5,49,1h 34m,48000.0
439. Any Which Way You Can,6.1,49,1h 56m,22000.0
440. Simarik,6.4,49,1h 51m,2400.0
441. Bulletproof,5.8,49,1h 24m,41000.0
442. Here Comes the Boom,6.4,49,1h 45m,97000.0
